FONDERIE DU POITOU FONTE;Grand Rue de Saint Ustre;86220;INGRANDES;1;12;2555
SCHAERER;;32290;AIGNANS;1;12;2558
ELECTRO OUEST;ZA de la Pierre Blancheallée de Brocéliande;35135;CHANTEPIE;1;12;2562
URANIE INTERNATIONAL;rue du général de GaulleZI Le Meux Armancourt;60880;LE MEUX;1;12;2617
FAIVELEY TRANSPORT AMIENS;rue André Durouchez;80080;AMIENS;1;12;2618
EDF UTO CITALIUM SITE DE MONTEVRAIN;Le Citalium1, avenue de l'Europe;77771;MARNE LA VALLEE;1;12;2619
MANITOU SITE D'ANCENIS;430, rue de l'Aubinière;44158;ANCENIS;1;12;2627
CASE NEW HOLLAND SITE DE COEX * CNH;20, route Aizenay;85220;COEX;1;12;2656
FORGES DU SAUT DU TARN * FSDT;avenue Germain Tequi;81160;SAINT JUERY;1;12;2664
POCLAIN AUTOMOTIVE POWERTRAIN SITE DE VERBERIE;Route de Compiègne;60410;VERBERIE;1;12;2668
MICHELIN SITE DE LADOUX;;63000;LADOUX;1;12;2676
STEVA MONTOIRE SUR LE LOIR;1, avenur du docteur Jeulain;41800;MONTOIRE SUR LE LOIR;1;12;2683
OSMEA;ZAE Les Tanes Basses12, rue du Cardinal;34800;CLERMONT L'HERAULT;1;12;2699
NDC * NEW DIE CASTING FOUNDRY;9, rue Hubert PennevertZI du canal des soeurs;17300;ROCHEFORT;1;12;2703
CEA / MARCOULE;Batiment 222BP 17171;30207;BAGNOLS SUR CEZE;1;12;2706
O5 MARINE SITE DE DUNKERQUE * CGG;S/V Oceanic Phoenixroute du Pertuis du Mole 2;59140;DUNKERQUE;1;12;2745
AMF * ATELIER DE MÉCANIQUE FABBRO * FABBRO;430, rue du Noyer des Bouttières;76800;SAINT ETIENNE DU ROUVRAY;1;12;2769
EDF EN SERVICES ANTENNE PICARDIE;ZI de RouvroyBardin et Charles Benoît;2100;ROUVROY;1;12;2778
FLOWSERVE SITE D'ARNAGE;13, rue Maurice Trintignant;72234;ARNAGE;1;12;2875
REDEX SITE DE SENONCHES;Parc naturel régional du Percherue du chemin de Paris;28250;SENONCHES;1;12;2889
GH DIFFUSION ;ZI de la Bougeoirerue du Ponceau;35130;LA GUERCHE DE BRETAGNE;1;12;2932
CHATAL;20 Boulevard de la Brière;44 410;HERBIGNAC;1;12;2961
MICRO CONTROLE SITE DE BRIGUEUIL;La Boulonnie;16420;BRIGUEUIL;1;12;2968
ETN * ELECTROTECHNIQUE DE NORMANDIE;5, rue Nicéphore Nièpce;76300;SOTTEVILLE LES ROUEN;1;12;3000
RFS * RADIO FRÉQUENCY SYSTEMS;rue Baptiste Marcet;44570;TRIGNAC;1;12;3003
ARMSTRONG SITE DU HAVRE;58, rue du Général Chanzy;76600;LE HAVRE;1;12;3007
BERRY RADIATEURS;2, rue des Pieds Blancs;18230;SAINT DOULCHARD;1;12;3038
FIS SPARE PARTS;546, boulevard Jules;76600;LE HAVRE;1;12;3039
ATELIER DE RESTAURATION DU DEPARTEMENT DES MONNAIES;58, rue de Richelieu;75084;PARIS CEDEX 02;1;12;3046
TREMBLAYE LOGISTIQUE;rue Hyppolyte FoucaultZI Nord;72000;LE MANS;1;12;3050
NAVAL GROUP * DCNS;Indret;44620;LA MONTAGNE;1;12;3056
FAIVELEY TRANSPORT SAINT PIERRE DES CORPS;ZI des Yvaudières75, avenue Yves Farge;37701;SAINT PIERRE DES CORPS;1;12;3061
GARCIA RECTIFICATION;3, allée des Terres Rouges;95830;CORMEILLES EN VEXIN;1;12;3065
LEGENDRE MONTLOUIS SUR LOIRE;28, avenue Léonard de Vinci;37270;MONTLOUIS SUR LOIRE;1;12;3068
GALVANOPLAST * FRANTZ ELECTROLYSE;23, chemin des Reniers;92390;VILLENEUVE LA GARENNE;1;12;3076
TREMBLAYE ;17 à 25, rue André CitroënZI Nord;72021;LE MANS CEDEX 2;1;12;3091
SAPA PROFILÉS;;;;1;12;3092
FARETRADE;111, rue des MalinesZA des Malines;91090;LISSES;1;12;3099
FOB LOG;20, rue Nicéphore Nièpce;29200;BREST;1;12;3110
PELLETREAU;14, rue Jules Baron;49300;CHOLET;1;12;3111
E3 CORTEX;8, rue des Fours;;THIEUX;1;12;3112
VALEO NOGENT LE ROTROU;16, avenue des Prés;28400;MARGON;1;12;3116
ELETTA INSTRUMENTATION;ZAC de Champcourt3, boulevard du Bicentenaire;3300;CUSSET;1;12;3128
CHASSIX * SMV AUTOMOTIVE;ZAC du Bois de Plaisance1, rue du trou Martinet;60280;VENETTE;1;12;3134
PONTICELLI SAVENAY;ZA des Acacias;44260;SAVENAY;1;12;3135
METALIS SITE PONT DE ROIDE;8, Rue des Acacias;25150;PONT DE ROIDE;1;13;589
L'ELECTROLYSE;ZI;33360;LATRESNE;1;13;1099
ECA * EPI * L'UNIVERS DE L'EMBALLAGE AGENCE DE TOULON;262 rue des Frères LumièreZI Toulon Est;83130;La Garde;1;13;1214
PONTICELLI FRÈRES SAS;18, Charles Martin;69190;SAINT FONS;1;13;1224
SAFRAN LANDING SYSTEMS * MESSIER BUGATTI DOWTY SITE DE BIDOS;9 rue Guynemer;64401;Oloron Sainte Marie;1;13;1239
FONT EMBALLAGES;607 rue du CanalZ.I.;42320;La Grand Croix;1;13;1358
SAFRAN AIRCRAFT ENGINES*SNECMA PROPULSION SOLIDE SITE D'HAILLAN;rue TOUBAN;33185;HAILLAN;1;13;1427
SAFRAN GROUPE SITE DE PARIS;2 Bd du General Martial-Valin;75724;PARIS CEDEX 15;1;13;1456
SAFRAN HELICOPTER ENGINES * TURBOMECA;;64511;Bordes;1;13;1462
ROXEL;RN 151;18570;Le Subdray;1;13;1581
BBA EMBALLAGES SITE DE NANCY;Dynapole240 , rue Henri Doissan;54714;LUDRES Cedex;1;13;1613
OREXAD SITE D'EPINAL;;88;;1;13;1636
H+VALVES;;69380;CHESSY;1;13;1683
STREIT GROUPE;21, avenue Gaston Renaud;25340;Clerval;1;13;1699
SAFRAN MBD SITE DE MOLSHEIM;1 à 9 rue Antoine de Saint Exupéry;67129;MOLSHEIM;1;13;1749
SENIOR AEROSPACE ERMETO SITE DE BLOIS;rue Clos Thomas;41360;FOSSE;1;13;1796
DURA AUTOMOTIVE SYSTEMS SITE DE LA TALAUDIERE;Zone industrielle de Molinat la Chazotterue de la Chazotte;42350;LA TALAUDIERE;1;13;2004
AMD DECOLLETAGE;441, rue des Crêts;74800;SAINT PIERRE EN FAUCIGNY;1;13;2025
MEMORIAL HERMANN HOSPITAL LIFE FLIGHT;6411 Fannin Street;TX 77030;HOUSTON;1;13;2072
HERAKLES * SAFRAN;rue de Touban;33185;LE HAILLAN;1;13;2136
PCA CENTRE TECHNIQUE DE BELCHAMP;;25218;MONBELIARD CEDEX;1;13;2186
PROVENCE DIESEL ELECTRIQUE;ZI des Paludsavenue des Caniers;13400;AUBAGNE;1;13;2285
MECANIQUE DEVILLE SORBIERS;14 RUE LOUIS BLANCHARD;42290;SORBIERS;1;13;2369
NTN SNR ROULEMENTS SITE CRAN GEVRIER;6 route de la SalleZAC des Romains;74960;CRAN GEVRIER;1;13;2407
VALMET * METSO PAPER SERVICES;5, rue de l'Industrie;68700;CERNAY;1;13;2432
CASTMETAL;2 rue du DOUBS;25260;COLOMBIER FONTAINE;1;13;2459
SCSI - SUPPLY CHAIN SERVICE INTERNATIONAL SITE DE THAON;5, rue du Ruisseau;88150;THAON LES VOSGES;1;13;2471
CASTMETAL SITE DE COLOMBIER FONTAINE * SAFE METAL;2 Rue du DoubsBP 39;25260;COLOMBIER FONTAINE;1;13;2474
AEROPROTEC;4&6 rue Vincent Auriol;64000;PAU;1;13;2485
SCSI - SUPPLY CHAIN SERVICE INTERNATIONAL SITE DE GRENOBLE;;38;LE VERSOUD;1;13;2492
DRILLSTAR INDUSTRIES;av ftrederic et irene JOLIOT CURIE;64140;LONS;1;13;2567
PROTEA;2 rue James Watt;26700;PIERRELATTE;1;13;2571
ECA ROBOTICS SITE DE TOULON;242, rue des Frères Lumière;83130;LA GARDE;1;13;2582
EUROSTAMP * GRUPPO CLN * MA ;1 avenue JEAN MONNET;54290;VILLIERS LA MONTAGNE;1;13;2583
VERBÉ;410, rue Michel Rondet;42153;RIORGES;1;13;2606
SODAPEM GROUPE LPF;;30250;sommieres;1;13;2633
SANDVIK HYPERION;625 route de la gare;26210;EPINOUZE;1;13;2640
PACKEST;22 boulevard Leblois;67000;STRASBOURG;1;13;2653
ENDEL FESSENHEIM;3 rue COLONEL TULLA;68740;FESSENHEIM;1;13;2660
MAHLE FILTRATION  INDUSTRIELLE SAS;Mas D'auriacD237;84100;ORANGE;1;13;2671
AS MECA BERNARD;ZA LES BARRAUDES;42530;SAINT GENEST LERP;1;13;2691
PRAXAIR SURFACE TECHNOLOGIES;42 allee JULES BIGOT;42043;SAINT ETIENNE;1;13;2716
